"id","overrideValues","name","ref1","ref2","ref3","ref4","ref5","ref6","ref7","ref8","ref9","ref10","ref11","ref12","ref13","ref14","ref15","ref16","ref17","ref18","ref19","ref20"
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","MM","MM","Millimetre","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","each","Ea","Each","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","EA","Ea","Each","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","cc","CC","Cubic Centimeter","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","INCH","IN","Inch","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","METRIC","","Metric","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","GRAMS","gms","Gram","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","ML","ML","Millilitre","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","SET","ST","Set","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","BOTTLE","BT","Bottle","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","FEET","","Feet","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","FT","","Feet","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","LITERS","","Litre","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","M","","Metre","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","MTS","","Metric","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","OZ","","Ounce","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","PACK","","Pack","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","ROLL","","Roll","","","","","","","","","","","","","","","","",""
"ae649b03-6f1b-48b7-8bf2-63234c3b5f60","false","Arena_UOM_Oracle_UOM_XREF","TUBE","","Tube","","","","","","","","","","","","","","","","",""
